Ages,Hindus%,Muslims%,Christians%,Sikhs%,Other minorities%
0-4,77.41,17.23,2.07,1.34,1.62
5-9,77.87,16.92,2.02,1.33,1.59
10-14,78.45,16.16,2.08,1.44,1.62
15-19,78.38,15.85,2.13,1.75,1.64
20-24,79.07,14.93,2.19,1.84,1.72
25-29,80.26,13.73,2.27,1.75,1.76
30-34,80.97,13.03,2.31,1.75,1.75
35-39,81.21,12.77,2.35,1.73,1.75
40-44,81.33,12.27,2.52,1.88,1.82
45-49,81.64,11.7,2.69,1.96,1.85
50-54,81.79,11.37,2.79,1.99,1.89
55-59,82.1,11.02,2.89,1.94,1.88
60-64,82.13,11.13,2.57,2.19,1.82
65-69,82.56,10.59,2.49,2.26,1.93
70-74,82.89,10.32,2.52,2.24,1.84
75-79,82.75,9.52,3.2,2.4,1.93
80+,81.6,10.65,2.93,2.9,1.67
