sector,indicator,subcategory,subcategory2,subcategory3,aspectid,unit,explanation
Covid-19,Active Cases,,,,11001,,Active cases as on day. Source: NDMA
Covid-19,Total cumulative cases,,,,11002,,Total cumulative confirmed cases.
Covid-19,Total cumulative deaths,,,,11003,,Total cumulative confirmed deaths reported
Covid-19,Days to double,,,,11004,days,Number of days taken for confirmed cases to double
Covid-19,New cases (7-day moving average),,,,11005,,7-day moving average of new confirmed cases reported per day
Covid-19,New cases,,,,11006,,New confirmed cases reported
Covid-19,New deaths,,,,11007,,New confirmed deaths reported
Covid-19,Rate of change in new cases over past month,,,,11008,%,Rate of change in new cases reported this week from a month ago
Formal employment,Total PF amount paid,Large,Manufacturing,Chemical,621218,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Paper products,621252,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Manufacturing,Tobacco products,621264,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Consultation Services,621423,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Large,Services,Engineering,621427,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Agriculture,Farm and farming products,622130,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Agro-processing,622212,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Chemical,622218,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Clay/Ceramic products,622219,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Confectionary,622221,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Mining,622248,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Textile,622263,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Manufacturing,Tobacco products,622264,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Construction,622422,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Consultation Services,622423,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Education,622425,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Electric Power Industry,622426,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Engineering,622427,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Financial Services,622431,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Housekeeping Services,622436,Rs.,Total amount matched by companies as EPF
Formal employment,Total PF amount paid,Medium,Services,Recreational Activties,622457,Rs.,Total amount matched by companies as EPF
