dist_cd,cx,cy
9999,182.4843759,42.03971961
999,243.4474457,52.41431737
3,226.250834,72.76074008
4,203.856477,69.08024466
1,171.6928623,61.32995914
9,181.1601375,61.78766886
8,174.029815,67.87222558
11,184.4724366,65.60201147
14,188.7651721,73.55457934
18,198.1002587,78.3134282
10,183.0472743,68.51905277
2,178.8912028,71.84796213
12,184.3534945,71.59106258
5,173.4162885,75.5788958
13,181.4744167,75.20183795
15,181.8349728,77.46648215
6,175.4732846,83.06646653
17,186.9303622,82.33096407
20,181.8085727,83.94273775
16,194.3498026,86.35485714
21,180.5858075,91.43369282
7,192.6498318,95.21009322
19,188.4990006,89.73975539
22,185.4746922,95.18683819
25,222.0137228,96.84680895
23,203.6777098,93.50226155
24,203.1745004,103.2364919
26,218.8597948,106.7432589
27,212.9568256,111.2748255
34,233.4285174,111.9105593
29,201.6311659,112.2582907
33,222.2401403,118.7356998
31,211.7742235,121.3191449
32,219.323269,127.7013245
28,206.2099075,110.7710204
30,208.3027216,115.7990366
35,188.3248133,106.5140786
38,196.5320101,111.4692365
49,182.6499929,110.108566
37,192.3051637,118.4780668
50,181.8015239,116.380643
51,205.6621847,121.029432
39,200.8272755,120.2186109
701,172.0064791,134.2359068
42,186.6021057,126.0763223
41,196.1806806,125.3682723
52,209.3001568,127.4472997
45,180.905134,128.6072107
40,204.0519937,128.1245182
44,177.4234151,133.8673896
53,196.6979711,135.3508063
54,191.3310288,132.3950416
46,184.6674509,135.8108632
48,203.6794037,134.1461079
47,190.4374785,140.4091218
43,179.8235542,123.5257858
773,193.0420921,100.0199086
36,189.9033837,116.078245
55,209.9016129,126.6512788
56,236.3705967,122.5325172
57,250.4181234,130.5886493
60,227.0966028,130.9639457
59,235.3268109,131.5696645
58,242.816552,130.3878036
62,261.5457961,136.9893456
63,254.4993285,138.9519781
68,227.5103546,140.8761887
61,238.6325233,140.8942924
64,249.3563624,144.0575434
66,248.7634212,150.2731858
65,257.5415509,150.8771666
67,248.8679013,154.8406697
83,208.041364,162.0699025
86,212.2122754,165.9588175
88,218.1072258,166.2963658
84,200.6034359,169.2123447
85,206.3692597,168.0350299
87,213.7991878,172.2638608
89,217.8920077,171.0411698
765,200.9329264,162.5015692
71,217.4461745,134.9718276
72,209.9364221,138.254438
73,204.627679,142.0404488
79,182.6705646,145.3075697
74,211.5864394,144.1091368
77,203.0284384,148.307819
78,192.4679881,146.0904453
80,196.0239491,152.0274606
75,212.0191444,149.998826
76,211.2667527,154.6010498
81,197.0099534,159.2075114
82,206.2680566,157.0083841
69,212.7316323,127.4646167
70,212.1640087,133.4301423
91,214.6542458,158.9459608
95,216.2048344,160.5939772
94,215.218737,162.5265782
98,215.8464962,164.0878463
137,232.3823865,158.6335708
705,226.0204573,160.1318865
150,248.3061048,164.4865867
151,256.4618375,163.2897802
142,227.7808411,166.0603071
141,221.1354632,165.5425712
153,266.2028889,170.0303477
149,242.6538979,170.7408941
180,278.1592033,176.9459352
152,253.9676829,172.8226851
143,228.5122403,173.2297474
202,239.823521,175.7394656
145,222.1485333,178.6113734
181,284.1151918,176.637695
154,268.886614,179.9259262
144,229.9512994,178.8731288
201,237.958851,179.9549771
155,258.8779938,182.9702846
159,248.6987967,181.3245594
147,235.1934779,185.3082548
184,298.1716297,183.9560258
148,242.8110765,185.3858386
187,307.6877741,185.0910089
146,228.6656127,187.7635398
183,285.8815512,186.998926
176,275.8408868,189.3428763
189,313.527991,190.5827109
160,252.0297692,188.1346192
157,269.6563234,190.918941
185,294.5778833,191.2772625
92,216.804887,160.1965571
96,214.0323075,161.2294369
