distname,state,ST_CEN_CD,district_cd
Leh(ladakh),JAMMU & KASHMIR,1,3
Kargil,JAMMU & KASHMIR,1,4
Kupwara,JAMMU & KASHMIR,1,1
Bandipore,JAMMU & KASHMIR,1,9
Baramula,JAMMU & KASHMIR,1,8
Ganderbal,JAMMU & KASHMIR,1,11
Anantnag,JAMMU & KASHMIR,1,14
Kishtwar,JAMMU & KASHMIR,1,18
Srinagar,JAMMU & KASHMIR,1,10
Badgam,JAMMU & KASHMIR,1,2
Pulwama,JAMMU & KASHMIR,1,12
Punch,JAMMU & KASHMIR,1,5
Shupiyan,JAMMU & KASHMIR,1,13
Kulgam,JAMMU & KASHMIR,1,15
Rajouri,JAMMU & KASHMIR,1,6
Ramban,JAMMU & KASHMIR,1,17
Reasi,JAMMU & KASHMIR,1,20
Doda,JAMMU & KASHMIR,1,16
Jammu,JAMMU & KASHMIR,1,21
Kathua,JAMMU & KASHMIR,1,7
Udhampur,JAMMU & KASHMIR,1,19
Samba,JAMMU & KASHMIR,1,22
Lahul & Spiti,HIMACHAL PRADESH,2,25
Chamba,HIMACHAL PRADESH,2,23
Kangra,HIMACHAL PRADESH,2,24
Kullu,HIMACHAL PRADESH,2,26
Mandi,HIMACHAL PRADESH,2,27
Kinnaur,HIMACHAL PRADESH,2,34
Una,HIMACHAL PRADESH,2,29
Shimla,HIMACHAL PRADESH,2,33
Solan,HIMACHAL PRADESH,2,31
Sirmaur,HIMACHAL PRADESH,2,32
Hamirpur,HIMACHAL PRADESH,2,28
Bilaspur,HIMACHAL PRADESH,2,30
Gurdaspur,PUNJAB,3,35
Hoshiarpur,PUNJAB,3,38
Amritsar,PUNJAB,3,49
Jalandhar,PUNJAB,3,37
Tarn Taran,PUNJAB,3,50
Rupnagar,PUNJAB,3,51
Shahid Bhagat Singh Nagar,PUNJAB,3,39
Fazilka,PUNJAB,3,701
Moga,PUNJAB,3,42
Ludhiana,PUNJAB,3,41
Sahibzada Ajit Singh Nag*,PUNJAB,3,52
Faridkot,PUNJAB,3,45
Fatehgarh Sahib,PUNJAB,3,40
Muktsar,PUNJAB,3,44
Sangrur,PUNJAB,3,53
Barnala,PUNJAB,3,54
Bathinda,PUNJAB,3,46
Patiala,PUNJAB,3,48
Mansa,PUNJAB,3,47
Firozpur,PUNJAB,3,43
Pathankot,PUNJAB,3,773
Kapurthala,PUNJAB,3,36
Chandigarh,CHANDIGARH,4,55
Uttarkashi,UTTARAKHAND,5,56
Chamoli,UTTARAKHAND,5,57
Dehradun,UTTARAKHAND,5,60
Tehri Garhwal,UTTARAKHAND,5,59
Rudraprayag,UTTARAKHAND,5,58
Pithoragarh,UTTARAKHAND,5,62
Bageshwar,UTTARAKHAND,5,63
Hardwar,UTTARAKHAND,5,68
Garhwal,UTTARAKHAND,5,61
"Almora
",UTTARAKHAND,5,64
Nainital,UTTARAKHAND,5,66
Champawat,UTTARAKHAND,5,65
Udham Singh Nagar,UTTARAKHAND,5,67
Jhajjar,HARYANA,6,83
Gurugram,HARYANA,6,86
Faridabad,HARYANA,6,88
Mahendragarh,HARYANA,6,84
Rewari,HARYANA,6,85
Mewat,HARYANA,6,87
Palwal,HARYANA,6,89
Charkhi Dadri,HARYANA,6,765
Yamunanagar,HARYANA,6,71
Kurukshetra,HARYANA,6,72
Kaithal,HARYANA,6,73
Sirsa,HARYANA,6,79
Karnal,HARYANA,6,74
Jind,HARYANA,6,77
Fatehabad,HARYANA,6,78
Hisar,HARYANA,6,80
Panipat,HARYANA,6,75
Sonipat,HARYANA,6,76
Bhiwani,HARYANA,6,81
Rohtak,HARYANA,6,82
Panchkula,HARYANA,6,69
Ambala,HARYANA,6,70
North,DELHI,7,91
Central,DELHI,7,95
New Delhi,DELHI,7,94
South,DELHI,7,98
Amroha,UTTAR PRADESH,9,137
Hapur,UTTAR PRADESH,9,705
Bareilly,UTTAR PRADESH,9,150
Pilibhit,UTTAR PRADESH,9,151
Bulandshahr,UTTAR PRADESH,9,142
Gautam Buddha Nagar,UTTAR PRADESH,9,141
Kheri,UTTAR PRADESH,9,153
Budaun,UTTAR PRADESH,9,149
Bahraich,UTTAR PRADESH,9,180
Shahjahanpur,UTTAR PRADESH,9,152
Aligarh,UTTAR PRADESH,9,143
Kasganj,UTTAR PRADESH,9,202
Mathura,UTTAR PRADESH,9,145
Shrawasti,UTTAR PRADESH,9,181
Sitapur,UTTAR PRADESH,9,154
Mahamaya Nagar,UTTAR PRADESH,9,144
Etah,UTTAR PRADESH,9,201
Hardoi,UTTAR PRADESH,9,155
Farrukhabad,UTTAR PRADESH,9,159
Firozabad,UTTAR PRADESH,9,147
Siddharthnagar,UTTAR PRADESH,9,184
Mainpuri,UTTAR PRADESH,9,148
Mahrajganj,UTTAR PRADESH,9,187
Agra,UTTAR PRADESH,9,146
Gonda,UTTAR PRADESH,9,183
Bara Banki,UTTAR PRADESH,9,176
Kushinagar,UTTAR PRADESH,9,189
Kannauj,UTTAR PRADESH,9,160
Lucknow,UTTAR PRADESH,9,157
Basti,UTTAR PRADESH,9,185
North East,DELHI,7,92
West,DELHI,7,96
Ajmer,RAJASTHAN,8,119
Rajsamand,RAJASTHAN,8,123
Chittaurgarh,RAJASTHAN,8,126
Ganganagar,RAJASTHAN,8,99
Hanumangarh,RAJASTHAN,8,100
Bikaner,RAJASTHAN,8,101
Pratapgarh,RAJASTHAN,8,131
Gorakhpur,UTTAR PRADESH,9,188
Sant Kabir Nagar,UTTAR PRADESH,9,186
Unnao,UTTAR PRADESH,9,156
Etawah,UTTAR PRADESH,9,161
East,DELHI,7,93
South West,DELHI,7,97
Shahdara,DELHI,7,702
South East,DELHI,7,703
North West,DELHI,7,90
Churu,RAJASTHAN,8,102
Jhunjhunun,RAJASTHAN,8,103
Jaisalmer,RAJASTHAN,8,114
Sikar,RAJASTHAN,8,111
Alwar,RAJASTHAN,8,104
Jaipur,RAJASTHAN,8,110
Jodhpur,RAJASTHAN,8,113
Bharatpur,RAJASTHAN,8,105
Nagaur,RAJASTHAN,8,112
Dausa,RAJASTHAN,8,109
Karauli,RAJASTHAN,8,107
Dhaulpur,RAJASTHAN,8,106
Barmer,RAJASTHAN,8,115
Sawai Madhopur,RAJASTHAN,8,108
Tonk,RAJASTHAN,8,120
Pali,RAJASTHAN,8,118
Bhilwara,RAJASTHAN,8,122
Jalor,RAJASTHAN,8,116
Bundi,RAJASTHAN,8,121
Kota,RAJASTHAN,8,127
Sirohi,RAJASTHAN,8,117
Baran,RAJASTHAN,8,128
Udaipur,RAJASTHAN,8,130
Jhalawar,RAJASTHAN,8,129
Dungarpur,RAJASTHAN,8,124
Banswara,RAJASTHAN,8,125
Kanpur Nagar,UTTAR PRADESH,9,164
Auraiya,UTTAR PRADESH,9,162
Faizabad,UTTAR PRADESH,9,177
Kanpur Dehat,UTTAR PRADESH,9,163
Deoria,UTTAR PRADESH,9,190
Sultanpur,UTTAR PRADESH,9,179
Ambedkar Nagar,UTTAR PRADESH,9,178
Rae Bareli,UTTAR PRADESH,9,158
Jalaun,UTTAR PRADESH,9,165
Azamgarh,UTTAR PRADESH,9,191
Mau,UTTAR PRADESH,9,192
Fatehpur,UTTAR PRADESH,9,172
Ballia,UTTAR PRADESH,9,193
Jaunpur,UTTAR PRADESH,9,194
Jhansi,UTTAR PRADESH,9,166
Banda,UTTAR PRADESH,9,170
Ghazipur,UTTAR PRADESH,9,195
Kaushambi,UTTAR PRADESH,9,174
Allahabad,UTTAR PRADESH,9,175
Varanasi,UTTAR PRADESH,9,197
Chitrakoot,UTTAR PRADESH,9,171
Chandauli,UTTAR PRADESH,9,196
Bhadohi,UTTAR PRADESH,9,198
Mirzapur,UTTAR PRADESH,9,199
Lalitpur,UTTAR PRADESH,9,167
Sonbhadra,UTTAR PRADESH,9,200
Amethi,UTTAR PRADESH,9,706
Ghaziabad,UTTAR PRADESH,9,140
Sambhal,UTTAR PRADESH,9,754
Mahoba,UTTAR PRADESH,9,169
Saharanpur,UTTAR PRADESH,9,132
Bijnor,UTTAR PRADESH,9,134
Muzaffarnagar,UTTAR PRADESH,9,133
Baghpat,UTTAR PRADESH,9,139
Meerut,UTTAR PRADESH,9,138
Moradabad,UTTAR PRADESH,9,135
Rampur,UTTAR PRADESH,9,136
Shamli,UTTAR PRADESH,9,704
Balrampur,UTTAR PRADESH,9,182
Hamirpur,UTTAR PRADESH,9,168
Pratapgarh,UTTAR PRADESH,9,173
