district,geographyid,geography,districtname,state
1,999065,Kupwara,Kupwara,1
2,999072,Badgam,Badgam,1
3,999063,Leh(ladakh),Leh(ladakh),37
4,999064,Kargil,Kargil,37
5,999074,Punch,Punch,1
6,999077,Rajouri,Rajouri,1
7,999082,Kathua,Kathua,1
8,999067,Baramula,Baramula,1
9,999066,Bandipore,Bandipore,1
10,999071,Srinagar,Srinagar,1
11,999068,Ganderbal,Ganderbal,1
12,999073,Pulwama,Pulwama,1
13,999075,Shupiyan,Shupiyan,1
14,999069,Anantnag,Anantnag,1
15,999076,Kulgam,Kulgam,1
16,999080,Doda,Doda,1
17,999078,Ramban,Ramban,1
18,999070,Kishtwar,Kishtwar,1
19,999083,Udhampur,Udhampur,1
20,999079,Reasi,Reasi,1
21,999081,Jammu,Jammu,1
22,999084,Samba,Samba,1
23,999086,Chamba,Chamba,2
24,999087,Kangra,Kangra,2
25,999085,Lahul & Spiti,Lahul & Spiti,2
26,999088,Kullu,Kullu,2
27,999089,Mandi,Mandi,2
28,999095,Hamirpur,Hamirpur,2
29,999091,Una,Una,2
30,999096,Bilaspur,Bilaspur,2
31,999093,Solan,Solan,2
32,999094,Sirmaur,Sirmaur,2
33,999092,Shimla,Shimla,2
34,999090,Kinnaur,Kinnaur,2
35,999097,Gurdaspur,Gurdaspur,3
36,999118,Kapurthala,Kapurthala,3
37,999100,Jalandhar,Jalandhar,3
38,999098,Hoshiarpur,Hoshiarpur,3
39,999103,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,3
40,999109,Fatehgarh Sahib,Fatehgarh Sahib,3
41,999106,Ludhiana,Ludhiana,3
42,999105,Moga,Moga,3
43,999116,Firozpur,Firozpur,3
44,999110,Muktsar,Muktsar,3
45,999108,Faridkot,Faridkot,3
46,999113,Bathinda,Bathinda,3
47,999115,Mansa,Mansa,3
48,999114,Patiala,Patiala,3
49,999099,Amritsar,Amritsar,3
50,999101,Tarn Taran,Tarn Taran,3
51,999102,Rupnagar,Rupnagar,3
52,999107,Sahibzada Ajit Singh Nag*,Sahibzada Ajit Singh Nag*,3
53,999111,Sangrur,Sangrur,3
54,999112,Barnala,Barnala,3
55,999119,Chandigarh,Chandigarh,4
56,999120,Uttarkashi,Uttarkashi,5
57,999121,Chamoli,Chamoli,5
58,999124,Rudraprayag,Rudraprayag,5
59,999123,Tehri Garhwal,Tehri Garhwal,5
60,999122,Dehradun,Dehradun,5
61,999128,Garhwal,Garhwal,5
62,999125,Pithoragarh,Pithoragarh,5
63,999126,Bageshwar,Bageshwar,5
64,999129,Almora,Almora,5
65,999131,Champawat,Champawat,5
66,999130,Nainital,Nainital,5
67,999132,Udham Singh Nagar,Udham Singh Nagar,5
68,999127,Hardwar,Hardwar,5
69,999153,Panchkula,Panchkula,6
70,999154,Ambala,Ambala,6
71,999141,Yamunanagar,Yamunanagar,6
72,999142,Kurukshetra,Kurukshetra,6
73,999143,Kaithal,Kaithal,6
74,999145,Karnal,Karnal,6
75,999149,Panipat,Panipat,6
76,999150,Sonipat,Sonipat,6
77,999146,Jind,Jind,6
78,999147,Fatehabad,Fatehabad,6
79,999144,Sirsa,Sirsa,6
80,999148,Hisar,Hisar,6
81,999151,Bhiwani,Bhiwani,6
82,999152,Rohtak,Rohtak,6
83,999133,Jhajjar,Jhajjar,6
84,999136,Mahendragarh,Mahendragarh,6
85,999137,Rewari,Rewari,6
86,999134,Gurugram,Gurugram,6
87,999138,Mewat,Mewat,6
88,999135,Faridabad,Faridabad,6
89,999139,Palwal,Palwal,6
90,999206,North West,North West,7
91,999155,North,North,7
92,999189,North East,North East,7
93,999202,East,East,7
94,999157,New Delhi,New Delhi,7
95,999156,Central,Central,7
96,999190,West,West,7
97,999203,South West,South West,7
98,999158,South,South,7
99,999194,Ganganagar,Ganganagar,8
100,999195,Hanumangarh,Hanumangarh,8
101,999196,Bikaner,Bikaner,8
102,999207,Churu,Churu,8
103,999208,Jhunjhunun,Jhunjhunun,8
