state	age	cause	sex	perc
INDIA	1-4	Circulatory	M	8.2
INDIA	1-4	Circulatory	F	6.8
INDIA	1-4	Circulatory	T	7.6
INDIA	5-14	Circulatory	M	11.4
INDIA	5-14	Circulatory	F	8.9
INDIA	5-14	Circulatory	T	10.3
INDIA	15-24	Circulatory	M	11.5
INDIA	15-24	Circulatory	F	10.1
INDIA	15-24	Circulatory	T	10.9
INDIA	25-34	Circulatory	M	14.6
INDIA	25-34	Circulatory	F	13.5
INDIA	25-34	Circulatory	T	14.1
INDIA	35-44	Circulatory	M	22
INDIA	35-44	Circulatory	F	21.4
INDIA	35-44	Circulatory	T	21.8
INDIA	45-54	Circulatory	M	29.3
INDIA	45-54	Circulatory	F	29.2
INDIA	45-54	Circulatory	T	29.2
INDIA	55-64	Circulatory	M	37.7
INDIA	55-64	Circulatory	F	39
INDIA	55-64	Circulatory	T	38.1
INDIA	65-69	Circulatory	M	39
INDIA	65-69	Circulatory	F	40.7
INDIA	65-69	Circulatory	T	39.7
INDIA	70+	Circulatory	M	41.9
INDIA	70+	Circulatory	F	46.2
INDIA	70+	Circulatory	T	43.7
INDIA	1-4	Infections	M	24.2
INDIA	1-4	Infections	F	23.4
INDIA	1-4	Infections	T	23.8
INDIA	5-14	Infections	M	27.6
INDIA	5-14	Infections	F	30.3
INDIA	5-14	Infections	T	28.7
INDIA	15-24	Infections	M	18.2
INDIA	15-24	Infections	F	20.4
INDIA	15-24	Infections	T	19.2
INDIA	25-34	Infections	M	17.6
INDIA	25-34	Infections	F	19.4
INDIA	25-34	Infections	T	18.3
INDIA	35-44	Infections	M	17.6
INDIA	35-44	Infections	F	19
INDIA	35-44	Infections	T	18
INDIA	45-54	Infections	M	14
INDIA	45-54	Infections	F	14.8
INDIA	45-54	Infections	T	14.2
INDIA	55-64	Infections	M	11
INDIA	55-64	Infections	F	11
INDIA	55-64	Infections	T	11
INDIA	65-69	Infections	M	9.5
INDIA	65-69	Infections	F	10
INDIA	65-69	Infections	T	9.7
INDIA	70+	Infections	M	7.8
INDIA	70+	Infections	F	6.9
INDIA	70+	Infections	T	7.4
INDIA	1-4	External Causes	M	8.8
INDIA	1-4	External Causes	F	7.8
INDIA	1-4	External Causes	T	8.3
INDIA	5-14	External Causes	M	12.2
INDIA	5-14	External Causes	F	10.4
INDIA	5-14	External Causes	T	11.5
INDIA	15-24	External Causes	M	26.5
INDIA	15-24	External Causes	F	22.9
INDIA	15-24	External Causes	T	24.9
INDIA	25-34	External Causes	M	23.1
INDIA	25-34	External Causes	F	20.1
INDIA	25-34	External Causes	T	22
INDIA	35-44	External Causes	M	13.8
INDIA	35-44	External Causes	F	11.3
INDIA	35-44	External Causes	T	13
INDIA	45-54	External Causes	M	8.8
INDIA	45-54	External Causes	F	7
INDIA	45-54	External Causes	T	8.2
INDIA	55-64	External Causes	M	5.5
INDIA	55-64	External Causes	F	4.1
INDIA	55-64	External Causes	T	5
INDIA	65-69	External Causes	M	4.9
INDIA	65-69	External Causes	F	3.9
INDIA	65-69	External Causes	T	4.5
INDIA	70+	External Causes	M	2.8
INDIA	70+	External Causes	F	1.8
