state	cause	sex	perc	rank
ANDAMAN & NICOBAR ISLANDS	Circulatory	F	31.0	1st
ANDAMAN & NICOBAR ISLANDS	Others	F	13.8	2nd
ANDAMAN & NICOBAR ISLANDS	Infections	F	12.2	3rd
ANDAMAN & NICOBAR ISLANDS	Endocrine	F	9.2	4th
ANDAMAN & NICOBAR ISLANDS	External Causes	F	9.0	5th
ANDAMAN & NICOBAR ISLANDS	Respiratory	F	7.6	6th
ANDAMAN & NICOBAR ISLANDS	Cancer	F	5.7	7th
ANDAMAN & NICOBAR ISLANDS	Digestive	F	4.9	8th
ANDAMAN & NICOBAR ISLANDS	Blood diseases	F	3.5	9th
ANDAMAN & NICOBAR ISLANDS	Nervous	F	2.2	10th
ANDAMAN & NICOBAR ISLANDS	Unknown diseases	F	0.8	11th
ANDAMAN & NICOBAR ISLANDS	Circulatory	M	37.7	1st
ANDAMAN & NICOBAR ISLANDS	Others	M	11.8	2nd
ANDAMAN & NICOBAR ISLANDS	Digestive	M	11.8	3rd
ANDAMAN & NICOBAR ISLANDS	Infections	M	11.2	4th
ANDAMAN & NICOBAR ISLANDS	Endocrine	M	9.7	5th
ANDAMAN & NICOBAR ISLANDS	External Causes	M	5.5	6th
ANDAMAN & NICOBAR ISLANDS	Respiratory	M	5.0	7th
ANDAMAN & NICOBAR ISLANDS	Cancer	M	3.0	8th
ANDAMAN & NICOBAR ISLANDS	Nervous	M	2.3	9th
ANDAMAN & NICOBAR ISLANDS	Blood diseases	M	1.1	10th
ANDAMAN & NICOBAR ISLANDS	Unknown diseases	M	0.9	11th
ANDAMAN & NICOBAR ISLANDS	Circulatory	T	35.2	1st
ANDAMAN & NICOBAR ISLANDS	Others	T	12.6	2nd
ANDAMAN & NICOBAR ISLANDS	Infections	T	11.6	3rd
ANDAMAN & NICOBAR ISLANDS	Endocrine	T	9.5	4th
ANDAMAN & NICOBAR ISLANDS	Digestive	T	9.3	5th
ANDAMAN & NICOBAR ISLANDS	External Causes	T	6.7	6th
ANDAMAN & NICOBAR ISLANDS	Respiratory	T	5.9	7th
ANDAMAN & NICOBAR ISLANDS	Cancer	T	4.0	8th
ANDAMAN & NICOBAR ISLANDS	Nervous	T	2.3	9th
ANDAMAN & NICOBAR ISLANDS	Blood diseases	T	2.0	10th
ANDAMAN & NICOBAR ISLANDS	Unknown diseases	T	0.9	11th
ANDHRA PRADESH	Circulatory	F	27.4	1st
ANDHRA PRADESH	Circulatory	F	27.4	1st
ANDHRA PRADESH	Unknown diseases	F	17.2	2nd
ANDHRA PRADESH	Others	F	15.0	3rd
ANDHRA PRADESH	Infections	F	12.5	4th
ANDHRA PRADESH	External Causes	F	9.0	5th
ANDHRA PRADESH	Respiratory	F	6.1	6th
ANDHRA PRADESH	Cancer	F	4.0	7th
ANDHRA PRADESH	Nervous	F	2.7	8th
ANDHRA PRADESH	Digestive	F	2.4	9th
ANDHRA PRADESH	Endocrine	F	2.2	10th
ANDHRA PRADESH	Blood diseases	F	1.5	11th
ANDHRA PRADESH	Circulatory	M	27.9	1st
ANDHRA PRADESH	Unknown diseases	M	17.8	2nd
ANDHRA PRADESH	Infections	M	13.2	3rd
ANDHRA PRADESH	Others	M	13.2	4th
ANDHRA PRADESH	External Causes	M	7.5	5th
ANDHRA PRADESH	Respiratory	M	7.0	6th
ANDHRA PRADESH	Cancer	M	4.3	7th
ANDHRA PRADESH	Digestive	M	4.3	8th
ANDHRA PRADESH	Nervous	M	2.6	9th
ANDHRA PRADESH	Endocrine	M	1.5	10th
ANDHRA PRADESH	Blood diseases	M	0.7	11th
ANDHRA PRADESH	Circulatory	T	27.7	1st
ANDHRA PRADESH	Unknown diseases	T	17.6	2nd
ANDHRA PRADESH	Others	T	13.9	3rd
ANDHRA PRADESH	Infections	T	12.9	4th
