Area,Ages,Males,Females,HMales,HFemales,MMales,MFemales,CMales,CFemales,SMales,SFemales,OthMales,OthFemales
INDIA,0-4,58632074,54174704,45496032,41824811,9980911,9454325,1188696,1141709,823683,688960,935075,887018
INDIA,5-9,66300466,60627660,51752264,47090038,11083818,10394718,1306536,1253739,935267,752127,1040129,979540
INDIA,10-14,69418835,63290377,54573129,49534671,11084681,10366761,1402808,1358118,1070813,834180,1108077,1042518
INDIA,15-19,63982396,56544053,50425235,44038285,9900673,9200941,1293777,1277106,1170625,940969,1029509,949222
INDIA,20-24,57584693,53839529,45674250,42427981,8546075,8094242,1189581,1251774,1070357,981628,964557,957339
INDIA,25-29,51344208,50069757,41307634,40090367,7006039,6921748,1113503,1192375,907627,866839,897330,886454
INDIA,30-34,44660674,43934277,36230268,35501266,5789206,5751249,997121,1049310,784050,764539,776302,776735
INDIA,35-39,42919381,42221303,34933268,34210700,5466174,5407710,967391,1037245,739310,734381,743107,747767
INDIA,40-44,37545386,34892726,30604207,28310840,4636016,4254376,897542,931416,683659,679107,667876,650917
INDIA,45-49,32138114,30180213,26277331,24596589,3775434,3516495,829459,847085,623726,600776,587773,562905
INDIA,50-54,25843266,23225988,21156815,18977646,2976560,2603412,683255,686540,513813,462538,477317,452405
INDIA,55-59,19456012,19690043,15984485,16154325,2136798,2178198,559304,571884,380794,379055,368300,369229
INDIA,60-64,18701749,18961958,15341452,15593513,2136960,2053218,473545,494620,399681,423484,323929,360242
INDIA,65-69,12944326,13510657,10667427,11174219,1394984,1406852,313491,344092,310865,286107,238842,272403
INDIA,70-74,9651499,9557343,7993583,7928488,1014200,967415,229090,255725,231595,199597,168121,185898
INDIA,75-79,4490603,4741900,3720160,3919976,429447,449319,134727,160608,114217,107793,84710,93844
INDIA,80+,5283695,6005310,4311924,4900287,566810,635518,142732,187772,165370,162244,85244,103781
State - JAMMU & KASHMIR,0-4,763501,651383,162348,135672,584275,502065,1616,1472,8471,6346,4586,4392
State - JAMMU & KASHMIR,5-9,746818,665155,175655,145261,553506,505425,1576,1429,9586,7056,5169,4906
State - JAMMU & KASHMIR,10-14,744855,668998,182086,154004,543825,499382,1654,1415,10206,7801,5879,5491
State - JAMMU & KASHMIR,15-19,640362,597100,172742,148387,448848,432279,1586,1413,10773,8748,5542,5572
State - JAMMU & KASHMIR,20-24,603578,557335,195604,153192,386794,386715,2321,1473,12658,9598,5342,5683
State - JAMMU & KASHMIR,25-29,584559,501563,231569,147429,327511,337238,3404,1369,15700,9307,5309,5653
State - JAMMU & KASHMIR,30-34,495746,431157,184697,128398,290253,287881,2557,1079,12779,8486,4684,4814
State - JAMMU & KASHMIR,35-39,441265,396680,154148,117359,270192,265274,1863,1077,10314,8316,4189,4278
State - JAMMU & KASHMIR,40-44,387739,326346,132139,97321,240491,216674,1663,836,9566,7705,3502,3508
State - JAMMU & KASHMIR,45-49,311560,279230,107522,87789,191254,180528,1140,697,8342,7059,3035,2918
State - JAMMU & KASHMIR,50-54,255599,212967,82480,68280,163132,135699,672,538,6576,5690,2573,2557
State - JAMMU & KASHMIR,55-59,172753,167278,58109,51205,107112,109135,436,419,4811,4274,2181,2098
State - JAMMU & KASHMIR,60-64,173427,149299,49254,46529,117629,96819,377,302,4035,3634,1980,1871
