Name	Gender	Country	Sport	Event	Age	Height	Weight
Alec Potts	Men	Australia	Archery	Individual	20	1.85	77
Ryan Tyack	Men	Australia	Archery	Individual	25	1.86	102
Taylor Worth	Men	Australia	Archery	Individual	25	1.74	60
Alice Ingley	Women	Australia	Archery	Individual	23	1.72	80
Laurence Baldauff	Women	Austria	Archery	Individual	41	1.64	57
Olga Senyuk	Women	Azerbaijan	Archery	Individual	25	1.75	53
Anton Prilepov	Men	Belarus	Archery	Individual	32	1.86	96
Robin Ramaekers	Men	Belgium	Archery	Individual	21	1.80	78
Karma Karma	Women	Bhutan	Archery	Individual	26	1.63	51
Bernardo Oliveira	Men	Brazil	Archery	Individual	23	1.73	70
Daniel Rezende Xavier	Men	Brazil	Archery	Individual	33	1.91	81
Marcus D'almeida	Men	Brazil	Archery	Individual	18	1.83	90
Ane Marcelle dos Santos	Women	Brazil	Archery	Individual	22	1.53	53
Marina Canetta	Women	Brazil	Archery	Individual	27	1.62	51
Sarah Nikitin	Women	Brazil	Archery	Individual	27	1.70	75
Crispin Duenas	Men	Canada	Archery	Individual	30	1.70	81
Ricardo Soto	Men	Chile	Archery	Individual	16	1.83	88
Dapeng Wang	Men	China	Archery	Individual	19	1.84	95
Xuesong Gu	Men	China	Archery	Individual	23	1.78	76
Yu Xing	Men	China	Archery	Individual	25	1.88	90
Chun-Heng Wei	Men	Chinese Taipei	Archery	Individual	22	1.80	74
Guan-Lin Yu	Men	Chinese Taipei	Archery	Individual	22	1.71	58
Hao-Wen Kao	Men	Chinese Taipei	Archery	Individual	21	1.80	82
Andres Pila	Men	Colombia	Archery	Individual	25	1.74	75
Adrian Andres Puentes Perez	Men	Cuba	Archery	Individual	28	1.71	76
Ahmed El-Nemr	Men	Egypt	Archery	Individual	37	1.83	84
Robert Elder	Men	Fiji	Archery	Individual	35	1.94	115
Samuli Piippo	Men	Finland	Archery	Individual	36	1.81	75
Jean-Charles Valladont	Men	France	Archery	Individual	27	1.80	83
Lucas Daniel	Men	France	Archery	Individual	21	1.80	80
Pierre Plihon	Men	France	Archery	Individual	26	1.84	130
Florian Floto	Men	Germany	Archery	Individual	28	1.88	105
Patrick Huston	Men	Great Britain	Archery	Individual	20	1.83	84
Atanu Das	Men	India	Archery	Individual	24	1.75	79
Hendra Purnama	Men	Indonesia	Archery	Individual	19	1.69	64
Muhammad Wijaya	Men	Indonesia	Archery	Individual	19	1.71	70
Riau Ega Agatha	Men	Indonesia	Archery	Individual	24	1.75	70
David Pasqualucci	Men	Italy	Archery	Individual	20	1.81	81
Marco Galiazzo	Men	Italy	Archery	Individual	33	1.78	98
Mauro Nespoli	Men	Italy	Archery	Individual	28	1.81	78
Rene Philippe Kouassi	Men	Ivory Coast	Archery	Individual	36	1.90	83
Takaharu Furukawa	Men	Japan	Archery	Individual	32	1.74	89
Sultan Duzelbayev	Men	Kazakhstan	Archery	Individual	22	1.76	46
