Sport	Gender	Event	Time	Timetxt	Athlete	Nationality	Year	Yeartxt	Timeinseconds	Unit
Athletics	Women	100 metres	100	11.04	Inge Helten	 West Germany	1976	1976	11.04	sec
Athletics	Women	100 metres	99.72826087	11.01	Annegret Richter	 West Germany	1976	1976	11.01	sec
Athletics	Women	100 metres	98.55072464	10.88	Marlies Oelsner	 East Germany	1977	1977	10.88	sec
Athletics	Women	100 metres	98.55072464	10.88	Marlies Göhr	 East Germany	1982	1982	10.88	sec
Athletics	Women	100 metres	97.91666667	10.81	Marlies Göhr	 East Germany	1983	1983	10.81	sec
Athletics	Women	100 metres	97.73550725	10.79	Evelyn Ashford	 USA	1983	1983	10.79	sec
Athletics	Women	100 metres	97.46376812	10.76	Evelyn Ashford	 USA	1984	1984	10.76	sec
Athletics	Women	100 metres	95.01811594	10.49	Florence Griffith-Joyner	 USA	1988	1988	10.49	sec
Athletics	Men	100 metres	100	9.95	Jim Hines	 USA	1976	1968	9.95	sec
Athletics	Men	100 metres	99.79899497	9.93	Calvin Smith	 USA	1983	1983	9.93	sec
Athletics	Men	100 metres	99.69849246	9.92	Carl Lewis	 USA	1988	1988	9.92	sec
Athletics	Men	100 metres	99.49748744	9.9	Leroy Burrell	 USA	1991	1991	9.9	sec
Athletics	Men	100 metres	99.09547739	9.86	Carl Lewis	 USA	1991	1991	9.86	sec
Athletics	Men	100 metres	98.99497487	9.85	Leroy Burrell	 USA	1994	1994	9.85	sec
Athletics	Men	100 metres	98.89447236	9.84	Donovan Bailey	 Canada	1996	1996	9.84	sec
Athletics	Men	100 metres	98.3919598	9.79	Maurice Greene	 USA	1999	1999	9.79	sec
Athletics	Men	100 metres	98.19095477	9.77	Asafa Powell	 Jamaica	2005	2005	9.77	sec
Athletics	Men	100 metres	98.19095477	9.77	Asafa Powell	 Jamaica	2006	2006	9.77	sec
Athletics	Men	100 metres	98.19095477	9.77	Asafa Powell	 Jamaica	2006	2006	9.77	sec
Athletics	Men	100 metres	97.88944724	9.74	Asafa Powell	 Jamaica	2007	2007	9.74	sec
Athletics	Men	100 metres	97.68844221	9.72	Usain Bolt	 Jamaica	2008	2008	9.72	sec
Athletics	Men	100 metres	97.38693467	9.69	Usain Bolt	 Jamaica	2008	2008	9.69	sec
Athletics	Men	100 metres	96.28140704	9.58	Usain Bolt	 Jamaica	2009	2009	9.58	sec
Athletics	Men	200 metres	100	19.83	Tommie Smith	 USA	1976	1968	19.83	sec
Athletics	Men	200 metres	99.44528492	19.72	Pietro Mennea	 Italy	1979	1979	19.72	sec
Athletics	Men	200 metres	99.14271306	19.66	Michael Johnson	 USA	1996	1996	19.66	sec
Athletics	Men	200 metres	97.42813918	19.32	Michael Johnson	 USA	1996	1996	19.32	sec
Athletics	Men	200 metres	97.3272819	19.3	Usain Bolt	 Jamaica	2008	2008	19.3	sec
Athletics	Men	200 metres	96.77256682	19.19	Usain Bolt	 Jamaica	2009	2009	19.19	sec
Athletics	Women	200 metres	100	22.21	Irena Szewinska	 Poland	1976	1974	22.21	sec
Athletics	Women	200 metres	99.32462855	22.06	Marita Koch	 East Germany	1978	1978	22.06	sec
Athletics	Women	200 metres	99.14452949	22.02	Marita Koch	 East Germany	1979	1979	22.02	sec
Athletics	Women	200 metres	97.74876182	21.71	Marita Koch	 East Germany	1979	1979	21.71	sec
Athletics	Women	200 metres	97.74876182	21.71	Marita Koch	 East Germany	1984	1984	21.71	sec
Athletics	Women	200 metres	97.74876182	21.71	Heike Drechsler	 East Germany	1986	1986	21.71	sec
Athletics	Women	200 metres	97.74876182	21.71	Heike Drechsler	 East Germany	1986	1986	21.71	sec
Athletics	Women	200 metres	97.07339036	21.56	Florence Griffith-Joyner	 USA	1988	1988	21.56	sec
Athletics	Women	200 metres	96.08284557	21.34	Florence Griffith-Joyner	 USA	1988	1988	21.34	sec
Athletics	Men	400 metres	100	43.86	Lee Evans	 USA	1976	1968	43.86	sec
Athletics	Men	400 metres	98.7004	43.29	Butch Reynolds	 USA	1988	1988	43.29	sec
Athletics	Men	400 metres	98.4496	43.18	Michael Johnson	 USA	1999	1999	43.18	sec
Athletics	Women	400 metres	100	49.77	Christina Brehmer	 East Germany	1976	1976	49.77	sec
Athletics	Women	400 metres	99.95981515	49.75	Irena Szewinska	 Poland	1976	1976	49.75	sec
Athletics	Women	400 metres	99.03556359	49.29	Irena Szewinska	 Poland	1976	1976	49.29	sec
Athletics	Women	400 metres	98.83463934	49.19	Marita Koch	 East Germany	1978	1978	49.19	sec
Athletics	Women	400 metres	98.51316054	49.03	Marita Koch	 East Germany	1978	1978	49.03	sec
Athletics	Women	400 metres	98.33232871	48.94	Marita Koch	 East Germany	1978	1978	48.94	sec
Athletics	Women	400 metres	98.23186659	48.89	Marita Koch	 East Germany	1979	1979	48.89	sec
Athletics	Women	400 metres	97.64918626	48.6	Marita Koch	 East Germany	1979	1979	48.6	sec
Athletics	Women	400 metres	96.76511955	48.16	Marita Koch	 East Germany	1982	1982	48.16	sec
Athletics	Women	400 metres	96.42354832	47.99	Jarmila Kratochvílová	 Czechoslovakia	1983	1983	47.99	sec
Athletics	Women	400 metres	95.63994374	47.6	Marita Koch	 East Germany	1985	1985	47.6	sec
Athletics	Men	800 metres	100	01:43.7	 Marcello Fiasconaro	Italy	1976	1973	103.7	m:s
Athletics	Men	800 metres	99.80713597	01:43.5	 Alberto Juantorena	Cuba	1976	1976	103.5	m:s
Athletics	Men	800 metres	99.71070395	01:43.4	 Alberto Juantorena	Cuba	1977	1977	103.4	m:s
Athletics	Men	800 metres	98.7463838	01:42.4	 Sebastian Coe	Great Britain	1979	1979	102.4	m:s
Athletics	Men	800 metres	98.1002893	01:41.7	 Sebastian Coe	Great Britain	1981	1981	101.73	m:s
Athletics	Men	800 metres	98.1002893	01:41.7	 Wilson Kipketer	Denmark	1997	1997	101.73	m:s
Athletics	Men	800 metres	97.62777242	01:41.2	 Wilson Kipketer	Denmark	1997	1997	101.24	m:s
Athletics	Men	800 metres	97.5024108	01:41.1	 Wilson Kipketer	Denmark	1997	1997	101.11	m:s
Athletics	Men	800 metres	97.4831244	01:41.1	 David Rudisha	Kenya	2010	2010	101.09	m:s
Athletics	Men	800 metres	97.40597878	01:41.0	 David Rudisha	Kenya	2010	2010	101.01	m:s
Athletics	Men	800 metres	97.30954677	01:40.9	 David Rudisha	Kenya	2012	2012	100.91	m:s
Athletics	Women	800 metres	100	01:56.0	 Valentina Gerasimova	Soviet Union	1976	1976	116	m:s
Athletics	Women	800 metres	99.05172414	01:54.9	 Tatyana Kazankina	Soviet Union	1976	1976	114.9	m:s
Athletics	Women	800 metres	99.05172414	01:54.9	 Nadezhda Olizarenko	Soviet Union	1980	1980	114.9	m:s
Athletics	Women	800 metres	97.84482759	01:53.5	 Nadezhda Olizarenko	Soviet Union	1980	1980	113.5	m:s
Athletics	Women	800 metres	97.65517241	01:53.3	 Jarmila Kratochvílová	Czechoslovakia	1983	1983	113.28	m:s
Athletics	Men	1500 metres	100	03:32.2	 Filbert Bayi	Tanzania	1976	1974	212.2	m:s
Athletics	Men	1500 metres	99.95287465	03:32.1	 Sebastian Coe	Great Britain	1979	1979	212.1	m:s
Athletics	Men	1500 metres	99.95287465	03:32.1	 Steve Ovett	Great Britain	1980	1980	212.1	m:s
Athletics	Men	1500 metres	99.62299717	03:31.4	 Steve Ovett	Great Britain	1980	1980	211.4	m:s
Athletics	Men	1500 metres	99.54759661	03:31.2	 Sydney Maree	USA	1983	1983	211.24	m:s
Athletics	Men	1500 metres	99.32610745	03:30.8	 Steve Ovett	Great Britain	1983	1983	210.77	m:s
Athletics	Men	1500 metres	98.80772856	03:29.7	 Steve Cram	Great Britain	1985	1985	209.67	m:s
Athletics	Men	1500 metres	98.70876532	03:29.5	 Saïd Aouita	Morocco	1985	1985	209.46	m:s
Athletics	Men	1500 metres	98.4260132	03:28.9	 Noureddine Morceli	Algeria	1992	1992	208.86	m:s
Athletics	Men	1500 metres	97.72384543	03:27.4	 Noureddine Morceli	Algeria	1995	1995	207.37	m:s
Athletics	Men	1500 metres	97.07822809	03:26.0	 Hicham El Guerrouj	Morocco	1998	1998	206	m:s
Athletics	Women	1500 metres	100	03:56.0	 Tatyana Kazankina (URS)	Soviet Union	1976	1976	236	m:s
Athletics	Women	1500 metres	99.57627119	03:55.0	 Tatyana Kazankina (URS)	Soviet Union	1980	1980	235	m:s
Athletics	Women	1500 metres	98.50423729	03:52.5	 Tatyana Kazankina (URS)	Soviet Union	1980	1980	232.47	m:s
Athletics	Women	1500 metres	97.65254237	03:50.5	 Qu Yunxia (CHN)	China	1993	1993	230.46	m:s
Athletics	Women	1500 metres	97.48728814	03:50.1	 Genzebe Dibaba (ETH)	Ethiopia	2015	2015	230.07	m:s
Athletics	Men	5,000 metres	100	13:13.0	 Emiel Puttemans	Belgium	1976	1972	793	m:s
Athletics	Men	5,000 metres	99.98738966	13:12.9	 Dick Quax	New Zealand	1977	1977	792.9	m:s
Athletics	Men	5,000 metres	99.41992434	13:08.4	 Henry Rono	Kenya	1978	1978	788.4	m:s
Athletics	Men	5,000 metres	99.14249685	13:06.2	 Henry Rono	Kenya	1981	1981	786.2	m:s
Athletics	Men	5,000 metres	98.41235813	13:00.4	 David Moorcroft	Great Britain	1982	1982	780.41	m:s
Athletics	Men	5,000 metres	98.4110971	13:00.4	 Saïd Aouita	Morocco	1985	1985	780.4	m:s
Athletics	Men	5,000 metres	98.15762926	12:58.4	 Saïd Aouita	Morocco	1987	1987	778.39	m:s
Athletics	Men	5,000 metres	97.97730139	12:57.0	 Haile Gebrselassie	Ethiopia	1994	1994	776.96	m:s
