,CHINA,,,,,,,,INDIA,,,,,,,,BRAZIL,,,,,,,,RUSSIA,,,,,,,,MEXICO,,,,,,,,INDONESIA,,,,,,,,TURKEY,,,,,,,,THAILAND,,,,,,,,MALAYSIA,,,,,,,,PHILIPPINES,,,,,,
Date,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap,,Real GDP growth,PMI Manufacturing,Export growth,CPI Inflation,Import Cover,Exchange Rate,Stock Market Cap
18-Sep,6.7,50.8,13.9,2.5,16,-0.1,-2.1,,6.2,52.2,-2.5,3.7,9,-3.8,-4.8,,1.5,50.9,2.8,4.5,23.1,-4.6,-5.8,,2.5,50,26.9,3.4,23.5,-1.8,3.4,,2.5,51.7,11.6,5,4.5,-0.8,-0.7,,5.2,50.7,2.6,2.9,7.4,-2.1,-3.3,,2.5,42.7,21.9,24.5,4.1,-6.5,-4.6,,3.2,50,-4.9,1.3,10.2,1.3,2.5,,4.4,51.5,8.8,0.3,5.8,-1.2,-2.3,,6.2,52,1.1,6.7,7.5,-1.3,-3.2
18-Oct,6.5,50.2,14.3,2.5,16.1,-1.2,-5.7,,5.6,53.1,16.5,3.4,8.8,-1.9,-12.1,,1.2,51.1,16,4.6,23.3,8.5,16.4,,2.8,51.3,31.1,3.5,23.4,2.6,6,,1.3,50.7,12.6,4.9,4.5,-1.1,-3.8,,5.2,50.5,4.3,3.2,7.4,-2.1,-3.5,,-2.7,44.3,12.7,25.2,4.1,8,8.8,,3.8,48.9,8.6,1.2,10.1,-0.6,-2.5,,4.8,49.2,20.7,0.6,5.5,-0.5,-4.9,,6.4,54,6.7,6.7,7.3,0.1,-5
18-Nov,6.5,50,3.9,2.2,16.3,-0.1,1.6,,5.6,54,-0.8,2.3,8.9,2.5,5.2,,1.2,52.7,25.5,4.1,23.1,-0.8,3.8,,2.8,52.6,21.5,3.8,23.4,-1.1,-4.2,,1.3,49.7,2.9,4.7,4.5,-5.3,-11.9,,5.2,50.4,-3.1,3.2,7.4,3.4,6.7,,-2.7,44.7,9.2,21.6,4.4,7.9,6.2,,3.8,49.8,-1,0.9,10,-0.5,-2.5,,4.8,48.2,2.1,0.2,5.5,-0.6,-1.9,,6.4,54.2,1,6,7.5,2.2,2.3
18-Dec,6.5,49.4,-4.6,1.9,16.8,0.8,-1.6,,5.6,53.2,0.1,2.1,9,1.5,2.7,,1.2,52.6,9.9,3.8,23.8,-2.5,-2.9,,2.8,51.7,9.4,4.3,23.6,-1.5,-4.7,,1.3,49.7,4.4,4.8,4.5,0.7,-1.3,,5.2,51.2,-3.9,3.1,7.7,1.1,4.2,,-2.7,44.2,5.8,20.3,4.4,0.6,4.2,,3.8,50.3,-1.6,0.4,10.5,0.8,-1.5,,4.8,46.8,3.5,0.2,5.5,0.3,-2.3,,6.4,53.2,-12.2,5.1,8,-0.1,2.7
19-Jan,6.4,49.5,9.3,1.7,17.2,1.4,1.5,,5.7,53.9,3.9,2,9.6,0,0,,0.6,52.7,5.7,3.8,23,3.9,10.6,,0.4,50.9,-4.7,5,30.5,1.2,3.3,,1.1,50.9,6.2,4.4,4.7,4.5,8.7,,5.1,49.9,-3.8,2.8,8,2.3,6.4,,-2.6,44.2,11.6,20.4,4.5,-0.7,4.6,,2.9,50.2,-5.9,0.3,10.8,2.7,1.5,,4.5,47.9,-0.3,-0.7,5.7,1.3,2.6,,5.7,52.3,-6.4,4.4,8.6,0.7,6.4
19-Feb,6.4,49.2,-20.7,1.5,19.8,0.7,8.2,,5.7,54.3,3.2,2.6,10.2,-0.7,-2.5,,0.6,53.4,-9.6,3.9,26.1,0.3,4.1,,0.4,50.1,10,5.2,29.1,1.4,3.5,,1.1,52.6,3.8,3.9,4.9,-0.1,0.1,,5.1,50.1,-9.5,2.7,9,0.9,2.6,,-2.6,46.4,8.9,19.7,4.9,1.4,7.6,,2.9,49.9,5.7,0.7,12,1.6,5.4,,4.5,47.6,-7.9,-0.4,6.5,1,3.1,,5.7,51.9,0.5,3.8,9.4,0.5,2.9
19-Mar,6.4,50.5,14,2.3,19.4,0.4,15.8,,5.7,52.6,11.6,2.9,10.1,2.4,7.2,,0.6,52.8,-13.8,4.6,27.3,-3.3,-4.7,,0.4,52.8,0.5,5.3,27.4,1,0.7,,1.1,49.8,-1.2,4,4.8,-0.2,-2,,5.1,51.2,-6.9,2.5,9.1,-1.3,-1.3,,-2.6,47.2,5,19.7,4.5,-3.5,-5,,2.9,50.3,-5,1.2,11.9,-1.4,-2.4,,4.5,47.2,-3.4,0.2,6.3,-0.1,-0.5,,5.7,51.5,0.1,3.3,9.3,-0.6,-1.4
19-Apr,6.2,50.1,-2.7,2.5,18.8,0,6,,5.2,51.8,0.6,3,10.3,0.1,3.2,,1.1,51.5,-2.2,4.9,27.5,-1.3,-2.4,,1.1,51.8,0.3,5.2,26.4,0.9,2.7,,-1.2,50.1,6.5,4.4,4.8,1.5,4.6,,5.1,50.4,-9.9,2.8,8.8,0.4,0.7,,-1.7,46.8,10.8,19.5,4.3,-5.5,-8.8,,2.4,51,-2.8,1.2,11.7,-0.4,1.2,,4.8,49.4,-3.7,0.2,6.2,-0.9,-1.6,,5.4,50.9,3.1,3,9.2,0.9,1.7
19-May,6.2,49.4,1.1,2.7,18.6,-2.1,-11.2,,5.2,52.7,3.9,3,10.1,-0.6,-2.4,,1.1,50.2,6.6,4.7,27.3,-2.6,-3.9,,1.1,49.8,-11.4,5.1,26.5,-0.6,0.3,,-1.2,50,6.5,4.3,4.7,-0.8,-4.8,,5.1,51.6,-8.9,3.1,8.4,-1.7,-6.8,,-1.7,45.3,18.2,18.7,4.3,-4.8,-11.1,,2.4,50.7,-6.3,1.2,11.5,0.2,-1.3,,4.8,48.8,-2.9,0.3,6,-1.4,-2.8,,5.4,51.2,1.8,3.2,9.2,-0.5,-1.5
